id,pt_in,pt_out,tt_in,tt_out,vf_fr,vf_td,vf_su,pt_in_s,pt_out_s,tt_in_s,tt_out_s,vf_fr_s,vf_td_s,vf_su_s
1,2.8,2.79,17.49,17.38,0.0,0.0,3744621.0,2.8,2.79,17.49,17.38,1568.12,15965.5,2911759.0
2,2.68,2.68,17.75,17.29,0.0,0.0,3744621.0,2.68,2.68,17.75,17.29,536.78,17219.62,2913013.0
3,2.8,2.79,17.93,17.0,0.0,0.0,3744621.0,2.8,2.79,17.93,17.0,531.5,17763.42,2913557.0
4,2.75,2.74,17.65,16.41,0.0,0.0,3744621.0,2.75,2.74,17.65,16.41,520.26,18290.78,2914084.0
5,2.7,2.69,17.51,15.82,0.0,0.0,3744621.0,2.7,2.69,17.51,15.82,497.77,18799.74,2914593.0
6,2.65,2.64,17.55,15.87,0.0,0.0,3744621.0,2.65,2.64,17.55,15.87,509.94,19320.41,2915114.0
7,2.6,2.59,17.53,15.83,0.0,0.0,3744621.0,2.6,2.59,17.53,15.83,595.92,19833.72,2915627.0
8,2.75,2.74,18.02,15.68,0.0,0.0,3744621.0,2.75,2.74,18.02,15.68,958.74,20783.26,2916577.0
9,2.68,2.66,17.86,17.34,0.0,0.0,3744621.0,2.68,2.66,17.86,17.34,2299.26,22696.61,2918490.0
10,2.64,2.6,19.34,22.26,0.0,0.0,3744621.0,2.64,2.6,19.34,22.26,6336.93,17.25,2920377.0
11,2.85,2.85,17.59,27.55,0.0,0.0,3744621.0,2.85,2.85,17.59,27.55,607.31,611.28,2920969.0
12,2.79,2.79,17.62,30.46,0.0,0.0,3744621.0,2.79,2.79,17.62,30.46,559.59,1183.92,2921542.0
13,2.84,2.83,17.93,32.56,0.0,0.0,3744621.0,2.84,2.83,17.93,32.56,528.28,1708.52,2922066.0
14,2.82,2.79,17.88,30.59,0.0,0.0,3744621.0,2.82,2.79,17.88,30.59,3293.98,3410.7,2923769.0
15,2.87,2.86,18.16,34.22,0.0,0.0,3744621.0,2.87,2.86,18.16,34.22,611.21,4176.11,2924534.0
16,2.9,2.89,18.43,35.8,0.0,0.0,3744621.0,2.9,2.89,18.43,35.8,566.58,4754.13,2925112.0
17,2.93,2.92,18.66,36.94,0.0,0.0,3744621.0,2.93,2.92,18.66,36.94,533.97,5293.91,2925652.0
18,2.94,2.94,18.68,37.29,0.0,0.0,3744621.0,2.94,2.94,18.68,37.29,560.92,5873.9,2926232.0
19,2.96,2.95,18.5,36.19,0.0,0.0,3744621.0,2.96,2.95,18.5,36.19,534.84,6396.21,2926754.0
20,2.94,2.94,20.92,33.36,0.0,0.0,3744621.0,2.94,2.94,20.92,33.36,0.0,6763.07,2927121.0
21,2.87,2.86,20.61,27.02,0.0,0.0,3744621.0,2.87,2.86,20.61,27.02,2305.52,8267.69,2928626.0
22,2.99,2.98,18.89,23.28,0.0,0.0,3744621.0,2.99,2.98,18.89,23.28,1595.07,9397.7,2929756.0
23,2.98,2.97,19.64,21.41,0.0,0.0,3744621.0,2.98,2.97,19.64,21.41,620.36,10230.56,2930588.0
24,2.92,2.92,19.43,20.1,0.0,0.0,3744621.0,2.92,2.92,19.43,20.1,558.85,10821.04,2931179.0
25,2.98,2.98,19.24,19.41,0.0,0.0,3744621.0,2.98,2.98,19.24,19.41,607.79,11404.04,2931762.0
26,2.92,2.92,18.79,18.73,0.0,0.0,3744621.0,2.92,2.92,18.79,18.73,632.86,12029.28,2932387.0
27,2.86,2.86,18.39,17.94,0.0,0.0,3744621.0,2.86,2.86,18.39,17.94,611.99,12653.09,2933011.0
28,2.8,2.8,18.21,17.53,0.0,0.0,3744621.0,2.8,2.8,18.21,17.53,573.81,13246.88,2933605.0
29,2.75,2.75,17.98,17.03,0.0,0.0,3744621.0,2.75,2.75,17.98,17.03,526.91,13799.71,2934158.0
30,2.7,2.7,17.84,16.51,0.0,0.0,3744621.0,2.7,2.7,17.84,16.51,463.02,14287.94,2934646.0
31,2.66,2.65,17.76,15.86,0.0,0.0,3744621.0,2.66,2.65,17.76,15.86,433.64,14736.04,2935094.0
32,2.99,2.98,18.01,16.49,0.0,0.0,3744621.0,2.99,2.98,18.01,16.49,1466.56,15344.66,2935703.0
33,2.86,2.85,18.18,19.05,0.0,0.0,3744621.0,2.86,2.85,18.18,19.05,1606.89,16867.22,2937225.0
34,2.94,2.94,20.97,24.04,0.0,0.0,3744621.0,2.94,2.94,20.97,24.04,1376.26,15.3,2938722.0
35,2.85,2.84,17.91,29.09,0.0,0.0,3744621.0,2.85,2.84,17.91,29.09,864.21,756.91,2939463.0
36,2.85,2.84,18.15,31.75,0.0,0.0,3744621.0,2.85,2.84,18.15,31.75,862.01,1696.83,2940403.0
37,2.87,2.86,18.47,34.45,0.0,0.0,3744621.0,2.87,2.86,18.47,34.45,505.46,2209.55,2940916.0
38,2.88,2.87,18.62,35.94,0.0,0.0,3744621.0,2.88,2.87,18.62,35.94,547.74,2716.3,2941423.0
39,2.88,2.88,18.69,36.45,0.0,0.0,3744621.0,2.88,2.88,18.69,36.45,532.89,3312.62,2942019.0
40,2.89,2.89,18.75,37.61,0.0,0.0,3744621.0,2.89,2.89,18.75,37.61,596.94,3889.96,2942596.0
41,2.9,2.9,18.75,38.67,0.0,0.0,3744621.0,2.9,2.9,18.75,38.67,590.89,4486.76,2943193.0
42,2.92,2.92,18.83,40.32,0.0,0.0,3744621.0,2.92,2.92,18.83,40.32,0.0,4638.68,2943345.0
43,2.93,2.93,18.67,39.88,0.0,0.0,3744621.0,2.93,2.93,18.67,39.88,0.0,4638.68,2943345.0
44,2.92,2.9,17.99,34.16,0.0,0.0,3744621.0,2.92,2.9,17.99,34.16,2171.8,4980.26,2943687.0
45,2.94,2.94,18.96,26.92,0.0,0.0,3744621.0,2.94,2.94,18.96,26.92,644.7,6937.12,2945643.0
46,2.93,2.93,21.66,25.2,0.0,0.0,3744621.0,2.93,2.93,21.66,25.2,646.29,7612.32,2946319.0
47,2.86,2.86,21.42,23.65,0.0,0.0,3744621.0,2.86,2.86,21.42,23.65,713.62,8298.0,2947004.0
48,2.69,2.67,17.91,21.19,0.0,0.0,3744621.0,2.69,2.67,17.91,21.19,2278.59,10044.75,2948751.0
49,2.91,2.9,19.27,20.83,0.0,0.0,3744621.0,2.91,2.9,19.27,20.83,640.18,11788.98,2950495.0
50,2.95,2.94,19.8,20.68,0.0,0.0,3744621.0,2.95,2.94,19.8,20.68,531.33,12335.7,2951042.0
51,2.89,2.88,19.28,19.59,0.0,0.0,3744621.0,2.89,2.88,19.28,19.59,569.39,12908.48,2951615.0
52,2.86,2.86,19.21,18.82,0.0,0.0,3744621.0,2.86,2.86,19.21,18.82,0.0,13156.47,2951863.0
53,2.86,2.86,19.27,18.54,0.0,0.0,3744621.0,2.86,2.86,19.27,18.54,0.0,13156.47,2951863.0
54,2.87,2.86,19.22,18.29,0.0,0.0,3744621.0,2.87,2.86,19.22,18.29,0.0,13156.47,2951863.0
55,2.86,2.86,19.15,18.19,0.0,0.0,3744621.0,2.86,2.86,19.15,18.19,0.0,13156.47,2951863.0
56,2.69,2.67,17.65,17.49,0.0,0.0,3744621.0,2.69,2.67,17.65,17.49,1794.14,14929.21,2953636.0
57,2.98,2.96,18.39,19.56,0.0,0.0,3744621.0,2.98,2.96,18.39,19.56,1901.43,16799.68,2955506.0
58,2.84,2.83,20.81,23.84,0.0,0.0,3744621.0,2.84,2.83,20.81,23.84,1486.79,17.78,2957227.0
59,2.85,2.85,17.9,28.93,0.0,0.0,3744621.0,2.85,2.85,17.9,28.93,659.53,758.78,2957968.0
60,2.81,2.8,17.74,32.2,0.0,0.0,3744621.0,2.81,2.8,17.74,32.2,782.53,1485.92,2958695.0
61,2.79,2.78,18.01,34.15,0.0,0.0,3744621.0,2.79,2.78,18.01,34.15,705.82,2283.31,2959492.0
62,2.81,2.8,18.14,35.98,0.0,0.0,3744621.0,2.81,2.8,18.14,35.98,1098.44,3010.61,2960220.0
63,2.83,2.82,18.34,36.62,0.0,0.0,3744621.0,2.83,2.82,18.34,36.62,573.1,3853.21,2961062.0
64,2.87,2.86,18.6,39.36,0.0,0.0,3744621.0,2.87,2.86,18.6,39.36,0.0,3887.26,2961096.0
65,2.89,2.89,18.74,41.39,0.0,0.0,3744621.0,2.89,2.89,18.74,41.39,0.0,3887.26,2961096.0
66,2.87,2.86,18.29,40.43,0.0,0.0,3744621.0,2.87,2.86,18.29,40.43,0.0,3887.76,2961096.0
67,2.98,2.98,29.39,39.27,0.0,0.0,3744621.0,2.98,2.98,29.39,39.27,0.0,3887.76,2961096.0
68,2.97,2.96,28.92,35.72,0.0,0.0,3744621.0,2.97,2.96,28.92,35.72,1255.53,4002.4,2961211.0
69,2.77,2.76,22.94,28.34,0.0,0.0,3744621.0,2.77,2.76,22.94,28.34,990.03,6030.65,2963240.0
70,2.7,2.7,22.51,25.53,0.0,0.0,3744621.0,2.7,2.7,22.51,25.53,630.3,6762.18,2963971.0
71,2.63,2.63,21.69,23.65,0.0,0.0,3744621.0,2.63,2.63,21.69,23.65,758.93,7454.15,2964663.0
72,2.84,2.84,21.61,23.18,0.0,0.0,3744621.0,2.84,2.84,21.61,23.18,603.03,8474.85,2965684.0
73,2.96,2.96,21.12,22.41,0.0,0.0,3744621.0,2.96,2.96,21.12,22.41,561.68,9045.27,2966254.0
74,2.91,2.9,20.71,21.83,0.0,0.0,3744621.0,2.91,2.9,20.71,21.83,566.21,9610.77,2966820.0
75,2.85,2.85,20.46,21.47,0.0,0.0,3744621.0,2.85,2.85,20.46,21.47,556.51,10172.72,2967382.0
76,2.84,2.84,19.99,20.25,0.0,0.0,3744621.0,2.84,2.84,19.99,20.25,571.6,10723.43,2967932.0
77,2.96,2.96,19.5,19.17,0.0,0.0,3744621.0,2.96,2.96,19.5,19.17,517.46,11261.15,2968470.0
78,2.91,2.91,18.95,18.23,0.0,0.0,3744621.0,2.91,2.91,18.95,18.23,496.51,11767.4,2968976.0
79,2.86,2.85,18.52,17.74,0.0,0.0,3744621.0,2.86,2.85,18.52,17.74,975.07,12304.46,2969513.0
80,2.82,2.8,17.7,17.3,0.0,0.0,3744621.0,2.82,2.8,17.7,17.3,1858.08,14038.09,2971247.0
81,2.57,2.55,17.75,19.17,0.0,0.0,3744621.0,2.57,2.55,17.75,19.17,2515.43,16563.7,2973773.0
82,2.87,2.86,20.71,23.88,0.0,0.0,3744621.0,2.87,2.86,20.71,23.88,1503.94,18.85,2975783.0
83,2.84,2.84,17.72,27.34,0.0,0.0,3744621.0,2.84,2.84,17.72,27.34,736.97,753.32,2976517.0
84,2.85,2.85,17.96,31.16,0.0,0.0,3744621.0,2.85,2.85,17.96,31.16,639.96,1406.03,2977170.0
85,2.85,2.85,18.0,33.03,0.0,0.0,3744621.0,2.85,2.85,18.0,33.03,683.41,2080.84,2977844.0
86,2.85,2.85,18.23,32.74,0.0,0.0,3744621.0,2.85,2.85,18.23,32.74,1154.91,2890.41,2978654.0
87,2.86,2.85,18.23,34.27,0.0,0.0,3744621.0,2.86,2.85,18.23,34.27,749.86,3718.57,2979482.0
88,2.88,2.87,18.24,33.51,0.0,0.0,3744621.0,2.88,2.87,18.24,33.51,606.81,4395.09,2980159.0
89,2.89,2.89,18.2,32.03,0.0,0.0,3744621.0,2.89,2.89,18.2,32.03,658.69,5053.32,2980817.0
90,2.87,2.87,17.72,28.09,0.0,0.0,3744621.0,2.87,2.87,17.72,28.09,629.01,6264.89,2982028.0
91,2.91,2.9,17.66,26.66,0.0,0.0,3744621.0,2.91,2.9,17.66,26.66,0.0,6598.22,2982362.0
