id,pt_in,pt_out,tt_in,tt_out,vf_fr,vf_td,vf_su,pt_in_s,pt_out_s,tt_in_s,tt_out_s,vf_fr_s,vf_td_s,vf_su_s,daily_paper_code,data_time
2010,2.8,2.55,17.49,23.59,0,0,3772639,2.8,2.55,17.49,23.59,0,50090.8,6671823,lqgz,12/5/2023 23:00:01
2011,2.68,2.52,17.75,23.49,0,0,3772639,2.68,2.52,17.75,23.49,0,50090.8,6671823,lqgz,13/5/2023 00:00:00
2012,2.8,2.51,17.93,23.1,0,0,3772639,2.8,2.51,17.93,23.1,0,50090.8,6671823,lqgz,13/5/2023 01:00:00
2013,2.75,2.51,17.65,22.54,0,0,3772639,2.75,2.51,17.65,22.54,0,50090.8,6671823,lqgz,13/5/2023 02:00:00
2014,2.7,2.5,17.51,21.96,0,0,3772639,2.7,2.5,17.51,21.96,0,50090.8,6671823,lqgz,13/5/2023 03:00:00
2015,2.65,2.5,17.55,21.91,0,0,3772639,2.65,2.5,17.55,21.91,0,50090.8,6671823,lqgz,13/5/2023 04:00:00
2016,2.6,2.49,17.53,21.69,0,0,3772639,2.6,2.49,17.53,21.69,0,50090.8,6671823,lqgz,13/5/2023 05:00:00
2017,2.75,2.46,18.02,21.61,0,0,3772639,2.75,2.46,18.02,21.61,0,50090.8,6671823,lqgz,13/5/2023 06:00:00
2018,2.68,2.42,17.86,25.42,0,0,3772639,2.68,2.42,17.86,25.42,0,50090.8,6671823,lqgz,13/5/2023 07:00:00
2019,2.64,2.37,19.34,33.58,0,0,3772639,2.64,2.37,19.34,33.58,0,0,6671823,lqgz,13/5/2023 08:00:00
2020,2.85,2.41,17.59,21.53,0,0,3772639,2.85,2.41,17.59,21.53,10938.59,5035.91,6676853,lqgz,13/5/2023 09:00:00
2021,2.79,2.5,17.62,22.65,0,0,3772639,2.79,2.5,17.62,22.65,7483.61,13504.88,6685330,lqgz,13/5/2023 10:00:00
2022,2.84,2.58,17.93,24.09,0,0,3772639,2.84,2.58,17.93,24.09,6489.64,20533.94,6692359,lqgz,13/5/2023 11:00:00
2023,2.82,2.6,17.88,24.34,0,0,3772639,2.82,2.6,17.88,24.34,4664.81,26307.41,6698132,lqgz,13/5/2023 12:00:00
2024,2.87,2.62,18.16,25.12,0,0,3772639,2.87,2.62,18.16,25.12,5915.57,32132.01,6703957,,13/5/2023 13:00:00
2025,2.9,2.68,18.43,26.51,0,0,3772639,2.9,2.68,18.43,26.51,4832.21,37576.09,6709401,lqgz,13/5/2023 14:00:29
2026,2.93,2.72,18.66,27.73,0,0,3772639,2.93,2.72,18.66,27.73,3861.34,41850.48,6713673,lqgz,13/5/2023 15:00:01
2027,2.94,2.75,18.68,28.2,0,0,3772639,2.94,2.75,18.68,28.2,3198.21,45555.91,6717380,lqgz,13/5/2023 16:03:22
2028,2.96,2.76,18.5,27.35,0,0,3772639,2.96,2.76,18.5,27.35,2987.19,48464.43,6720289,lqgz,13/5/2023 17:00:01
2029,2.94,2.77,20.92,26.55,0,0,3772639,2.94,2.77,20.92,26.55,669.32,51320.25,6723144,lqgz,13/5/2023 18:00:00
2030,2.87,2.7,20.61,25.16,0,0,3772639,2.87,2.7,20.61,25.16,1809.94,52264.18,6724088,lqgz,13/5/2023 19:00:00
2031,2.99,2.68,18.89,24.06,0,0,3772639,2.99,2.68,18.89,24.06,0,54986.45,6726810,lqgz,13/5/2023 20:00:00
2032,2.98,2.61,19.64,25.81,0,0,3772639,2.98,2.61,19.64,25.81,0,54986.45,6726810,lqgz,13/5/2023 21:00:00
2033,2.92,2.54,19.43,26.04,0,0,3772639,2.92,2.54,19.43,26.04,0,54986.45,6726810,lqgz,13/5/2023 22:00:00
2034,2.98,2.49,19.24,25.96,0,0,3772639,2.98,2.49,19.24,25.96,0,54986.45,6726810,lqgz,13/5/2023 23:00:00
2035,2.92,2.46,18.79,25.5,0,0,3772639,2.92,2.46,18.79,25.5,0,54986.45,6726810,lqgz,14/5/2023 00:00:00
2036,2.86,2.44,18.39,24.96,0,0,3772639,2.86,2.44,18.39,24.96,0,54986.45,6726810,lqgz,14/5/2023 01:00:01
2037,2.8,2.44,18.21,24.51,0,0,3772639,2.8,2.44,18.21,24.51,0,54986.45,6726810,lqgz,14/5/2023 02:00:00
2038,2.75,2.44,17.98,23.92,0,0,3772639,2.75,2.44,17.98,23.92,0,54986.45,6726810,lqgz,14/5/2023 03:00:00
2039,2.7,2.43,17.84,23.19,0,0,3772639,2.7,2.43,17.84,23.19,0,54986.45,6726810,lqgz,14/5/2023 04:00:00
2040,2.66,2.41,17.76,22.5,0,0,3772639,2.66,2.41,17.76,22.5,0,54986.45,6726810,lqgz,14/5/2023 05:00:00
2041,2.99,2.38,18.01,22.79,0,0,3772639,2.99,2.38,18.01,22.79,0,54986.45,6726810,lqgz,14/5/2023 06:00:01
2042,2.86,2.35,18.18,27.7,0,0,3772639,2.86,2.35,18.18,27.7,0,54986.45,6726810,lqgz,14/5/2023 07:00:00
