id,pt_in,pt_out,tt_in,tt_out,vf_fr,vf_td,vf_su,pt_in_s,pt_out_s,tt_in_s,tt_out_s,vf_fr_s,vf_td_s,vf_su_s,daily_paper_code,data_time
4228,4.44,2.91,18.63,17.88,0,6557.91,2254914,0,0,0,0,0,0,0,thwl,12/5/2023 23:00:01
4229,4.52,3.36,18.63,18.05,0,0,2255079.5,0,0,0,0,0,0,0,thwl,13/5/2023 00:00:00
4230,4.47,2.57,18.19,18,0,0,2255079.5,0,0,0,0,0,0,0,thwl,13/5/2023 01:00:00
4231,4.47,1.79,17.69,17.51,0,0,2255079.5,0,0,0,0,0,0,0,thwl,13/5/2023 02:00:00
4232,4.43,3.53,16.81,16.19,0,329.35,2255409,0,0,0,0,0,0,0,thwl,13/5/2023 03:00:00
4233,4.43,2.73,16.54,16.16,0,329.35,2255409,0,0,0,0,0,0,0,thwl,13/5/2023 04:00:00
4234,4.43,2.2,16.4,16.11,0,329.35,2255409,0,0,0,0,0,0,0,thwl,13/5/2023 05:00:00
4235,4.31,3.79,16.17,15.56,0,599.84,2255679.5,0,0,0,0,0,0,0,thwl,13/5/2023 06:00:00
4236,4.4,2.11,18.02,18.27,0,599.84,2255679.5,0,0,0,0,0,0,0,thwl,13/5/2023 07:00:00
4237,4.44,3.01,23.27,23.73,0,1236.42,2256316,0,0,0,0,0,0,0,thwl,13/5/2023 08:00:00
4238,4.21,1.87,27.61,29.01,0,1577.3,2256657,0,0,0,0,0,0,0,thwl,13/5/2023 09:00:00
4239,4.01,1.66,30.41,32.18,0,1928.66,2257008.25,0,0,0,0,0,0,0,thwl,13/5/2023 10:00:00
4240,4.21,3.67,32.32,32.6,2348.16,2538.07,2257617.75,0,0,0,0,0,0,0,thwl,13/5/2023 11:00:00
4241,3.89,3.54,33.16,32.82,1793.53,2913.72,2257993.5,0,0,0,0,0,0,0,thwl,13/5/2023 12:00:00
4242,3.95,3.59,34.7,35.82,0,3277.41,2258357,0,0,0,0,0,0,0,,13/5/2023 13:00:00
4243,4.07,3.38,37.45,37.62,0,3567.12,2258646.75,0,0,0,0,0,0,0,thwl,13/5/2023 14:00:29
4244,4.21,3.2,38.63,37.65,0,3849.07,2258928.75,0,0,0,0,0,0,0,thwl,13/5/2023 15:00:01
4245,4.33,3.43,38.41,36.52,0,4206.64,2259286.25,0,0,0,0,0,0,0,thwl,13/5/2023 16:03:22
4246,4.25,2.88,35.85,34.8,0,4480.56,2259560,0,0,0,0,0,0,0,thwl,13/5/2023 17:00:01
4247,4.16,2.45,33.64,32.17,0,4768.1,2259847.75,0,0,0,0,0,0,0,thwl,13/5/2023 18:00:00
4248,4.28,2.37,28.42,27.43,0,5003.41,2260083,0,0,0,0,0,0,0,thwl,13/5/2023 19:00:00
4249,4.25,2.73,24.11,23.26,0,5262.4,2260342,0,0,0,0,0,0,0,thwl,13/5/2023 20:00:00
4250,4.33,3.36,21.56,20.6,0,5573.05,2260652.5,0,0,0,0,0,0,0,thwl,13/5/2023 21:00:00
4251,4.43,3.61,20.24,19.26,0,5808.09,2260887.75,0,0,0,0,0,0,0,thwl,13/5/2023 22:00:00
4252,4.39,2.71,19.37,18.78,0,5808.09,2260887.75,0,0,0,0,0,0,0,thwl,13/5/2023 23:00:00
4253,4.4,1.98,18.99,18.32,0,0,2260887.75,0,0,0,0,0,0,0,thwl,14/5/2023 00:00:00
4254,4.39,3.72,19.03,18.53,0,343.03,2261230.75,0,0,0,0,0,0,0,thwl,14/5/2023 01:00:01
4255,4.39,2.85,19.25,18.94,0,343.03,2261230.75,0,0,0,0,0,0,0,thwl,14/5/2023 02:00:00
4256,4.36,2,18.7,18.46,0,343.03,2261230.75,0,0,0,0,0,0,0,thwl,14/5/2023 03:00:00
4257,4.35,3.54,17.79,17.45,0,657.57,2261545.25,0,0,0,0,0,0,0,thwl,14/5/2023 04:00:00
4258,4.35,2.93,17.4,17.1,0,657.57,2261545.25,0,0,0,0,0,0,0,thwl,14/5/2023 05:00:00
4259,4.22,2.4,17.92,17.82,0,657.57,2261545.25,0,0,0,0,0,0,0,thwl,14/5/2023 06:00:01
4260,4.34,2.65,19.81,20.32,0,929.71,2261817.5,0,0,0,0,0,0,0,thwl,14/5/2023 07:00:00
4261,4.29,2.15,24.55,25.23,0,1278.3,2262166,0,0,0,0,0,0,0,thwl,14/5/2023 08:00:00
4262,4.37,3.66,28.31,28.2,0,1805.13,2262692.75,0,0,0,0,0,0,0,thwl,14/5/2023 09:00:00
4263,4.37,1.27,31.39,32.79,0,1805.1,2262692.75,0,0,0,0,0,0,0,thwl,14/5/2023 10:00:01
4264,4.19,2.11,33,34.84,0,2172.11,2263059.75,0,0,0,0,0,0,0,thwl,14/5/2023 11:00:00
4265,4.04,2.75,33.34,35.66,0,2465.56,2263353.25,0,0,0,0,0,0,0,thwl,14/5/2023 12:00:00
4266,3.96,2.42,35.32,36.17,3241.68,2618.99,2263506.5,0,0,0,0,0,0,0,thwl,14/5/2023 13:00:00
4267,3.91,2.17,36.49,37.56,0,2827.52,2263715,0,0,0,0,0,0,0,thwl,14/5/2023 14:00:00
4268,4.05,3.21,36.21,36.79,0,3187.16,2264074.75,0,0,0,0,0,0,0,thwl,14/5/2023 15:00:01
4269,4.22,1.19,37.41,37.97,0,3187.16,2264074.75,0,0,0,0,0,0,0,thwl,14/5/2023 16:00:00
4270,4.28,2.13,35.35,36.08,0,3547.95,2264435.5,0,0,0,0,0,0,0,thwl,14/5/2023 17:00:00
4271,4.32,3.36,31.91,31.64,0,3903.59,2264791.25,0,0,0,0,0,0,0,thwl,14/5/2023 18:00:00
4272,4.21,2.09,28.32,28,0,3903.59,2264791.25,0,0,0,0,0,0,0,thwl,14/5/2023 19:00:00
4273,4.18,3.51,25.32,24.69,0,4237.79,2265125.5,0,0,0,0,0,0,0,thwl,14/5/2023 20:00:00
4274,4.16,2.2,24.39,24.25,0,4237.79,2265125.5,0,0,0,0,0,0,0,thwl,14/5/2023 21:00:00
4275,4.24,3.43,22.94,22.4,0,4559.73,2265447.5,0,0,0,0,0,0,0,thwl,14/5/2023 22:00:00
4276,4.24,2.46,22.11,21.81,0,4559.73,2265447.5,0,0,0,0,0,0,0,thwl,14/5/2023 23:00:00
4277,4.47,1.73,21.48,21.21,0,0,2265447.5,0,0,0,0,0,0,0,thwl,15/5/2023 00:00:00
4278,4.46,3.24,20.8,20.25,0,295.44,2265743,0,0,0,0,0,0,0,thwl,15/5/2023 01:00:00
4279,4.46,2.47,20.34,20.1,0,295.44,2265743,0,0,0,0,0,0,0,thwl,15/5/2023 02:00:00
4280,4.45,3.68,19.81,19.32,0,554.66,2266002,0,0,0,0,0,0,0,thwl,15/5/2023 03:00:00
4281,4.44,3.05,19.54,19.39,0,554.66,2266002,0,0,0,0,0,0,0,thwl,15/5/2023 04:00:00
4282,4.41,2.55,19.4,19.31,0,554.66,2266002,0,0,0,0,0,0,0,thwl,15/5/2023 05:00:00
4283,4.41,2.06,19.44,19.38,0,554.66,2266002,0,0,0,0,0,0,0,thwl,15/5/2023 06:00:00
4284,4.5,2.67,21.15,21.46,0,886.63,2266334,0,0,0,0,0,0,0,thwl,15/5/2023 07:00:00
4285,4.44,3.35,25.22,25.65,3255.34,1405.68,2266853,0,0,0,0,0,0,0,thwl,15/5/2023 08:00:00
4286,4.17,1.17,28.72,29.9,0,1496.85,2266944.25,0,0,0,0,0,0,0,thwl,15/5/2023 09:00:00
4287,4.07,1.6,32.1,33.52,0,1870.87,2267318.25,0,0,0,0,0,0,0,thwl,15/5/2023 10:00:00
4288,4.25,2.13,33.22,35.21,0,2240.25,2267687.75,0,0,0,0,0,0,0,thwl,15/5/2023 11:00:00
4289,4.1,2.2,33.92,36.15,0,2521.42,2267968.75,0,0,0,0,0,0,0,thwl,15/5/2023 12:00:00
4290,4.09,3.27,34.91,36.29,0,2921.22,2268368.75,0,0,0,0,0,0,0,thwl,15/5/2023 13:00:00
4291,4.32,1.37,37.75,38.18,0,2921.22,2268368.75,0,0,0,0,0,0,0,thwl,15/5/2023 14:00:00
4292,4.41,2.05,38.19,38.22,0,3277.18,2268724.5,0,0,0,0,0,0,0,thwl,15/5/2023 15:00:00
4293,4.26,2.37,36.72,36.97,0,3642.75,2269090,0,0,0,0,0,0,0,thwl,15/5/2023 16:00:00
4294,4.35,2.58,35.17,35.47,0,3930.28,2269377.75,0,0,0,0,0,0,0,thwl,15/5/2023 17:00:00
4295,4.39,3.14,33.25,32.88,0,4209.89,2269657.25,0,0,0,0,0,0,0,thwl,15/5/2023 18:00:00
4296,4.37,3.86,29.24,28.48,0,4521.2,2269968.5,0,0,0,0,0,0,0,thwl,15/5/2023 19:00:00
4297,4.34,2.27,26.77,26.19,0,4521.2,2269968.5,0,0,0,0,0,0,0,thwl,15/5/2023 20:00:00
4298,4.4,2.9,25.51,25.1,0,4785.4,2270233,0,0,0,0,0,0,0,thwl,15/5/2023 21:00:00
4299,4.39,4.05,24.39,24.14,0,5060.39,2270507.75,0,0,0,0,0,0,0,thwl,15/5/2023 22:00:00
4300,4.33,3.18,24.03,23.92,0,5060.39,2270507.75,0,0,0,0,0,0,0,thwl,15/5/2023 23:00:00
4301,4.49,2.36,23.28,23.09,0,0,2270507.75,0,0,0,0,0,0,0,thwl,16/5/2023 00:00:00
4302,4.47,3.38,21.95,21.51,0,243.05,2270750.75,0,0,0,0,0,0,0,thwl,16/5/2023 01:00:00
4303,4.45,2.7,21.53,21.23,0,243.05,2270750.75,0,0,0,0,0,0,0,thwl,16/5/2023 02:00:00
4304,4.39,3.09,20.98,20.16,3567.44,357.06,2270864.75,0,0,0,0,0,0,0,thwl,16/5/2023 03:00:00
4305,4.39,3.33,20.43,19.89,0,487.91,2270995.5,0,0,0,0,0,0,0,thwl,16/5/2023 04:00:00
4306,4.36,2.87,20.55,20.24,0,487.91,2270995.5,0,0,0,0,0,0,0,thwl,16/5/2023 05:00:00
4307,4.39,3.4,19.87,19.45,0,635.43,2271143.25,0,0,0,0,0,0,0,thwl,16/5/2023 06:00:00
4308,4.47,1.96,22.04,22.37,0,635.43,2271143.25,0,0,0,0,0,0,0,thwl,16/5/2023 07:00:00
4309,4.33,2.34,26.35,26.65,0,1219.6,2271727.25,0,0,0,0,0,0,0,thwl,16/5/2023 08:00:00
4310,4.24,1.48,28.85,29.53,0,1541.5,2272049.25,0,0,0,0,0,0,0,thwl,16/5/2023 09:00:00
4311,4.31,1.71,31.96,32.85,0,1914.27,2272422,0,0,0,0,0,0,0,thwl,16/5/2023 10:00:00
4312,4.33,1.87,32.63,33.71,0,2296.81,2272804.75,0,0,0,0,0,0,0,thwl,16/5/2023 11:00:01
4313,4.34,1.71,32.92,33.82,0,2618.42,2273126.25,0,0,0,0,0,0,0,thwl,16/5/2023 12:00:01
4314,4.36,2.26,34.05,34.86,0,2982.26,2273490,0,0,0,0,0,0,0,thwl,16/5/2023 13:00:00
4315,4.38,2.87,33.41,33.85,0,3340.93,2273848.75,0,0,0,0,0,0,0,thwl,16/5/2023 14:00:00
4316,4.37,3.38,32.46,32.52,0,3709.87,2274217.75,0,0,0,0,0,0,0,thwl,16/5/2023 15:00:00
4317,4.41,3.75,28.94,26.95,2779.71,4395.69,2274903.5,0,0,0,0,0,0,0,thwl,16/5/2023 17:00:01
4318,4.35,3.66,26.99,26.03,0,4666.07,2275173.75,0,0,0,0,0,0,0,thwl,16/5/2023 18:00:01
4319,4.28,3.71,24.97,24.29,0,4913.04,2275421,0,0,0,0,0,0,0,thwl,16/5/2023 19:00:01
4320,4.48,3.72,23.63,22.85,0,5163.01,2275671,0,0,0,0,0,0,0,thwl,16/5/2023 20:00:01
4321,4.41,3.65,23.22,21.75,0,5372.64,2275880.25,0,0,0,0,0,0,0,thwl,16/5/2023 21:00:00
4322,4.43,2.61,23.13,22.79,0,5372.65,2275880.25,0,0,0,0,0,0,0,thwl,16/5/2023 22:00:00
4323,4.37,3.38,22.22,21.77,0,5595.6,2276103.25,0,0,0,0,0,0,0,thwl,16/5/2023 23:00:00
4324,4.39,3.73,21.47,21.03,0,0,2276281.75,0,0,0,0,0,0,0,thwl,17/5/2023 00:00:00
4325,4.4,2.98,21.25,20.93,0,0,2276281.75,0,0,0,0,0,0,0,thwl,17/5/2023 01:00:00
4326,4.4,2.32,20.97,20.73,0,0,2276281.75,0,0,0,0,0,0,0,thwl,17/5/2023 02:00:00
4327,4.39,1.72,20.5,20.31,0,0,2276281.75,0,0,0,0,0,0,0,thwl,17/5/2023 03:00:00
4328,4.38,3.91,19.77,18.92,0,354.66,2276636.5,0,0,0,0,0,0,0,thwl,17/5/2023 04:00:00
4329,4.39,3.3,19.36,19,0,354.66,2276636.5,0,0,0,0,0,0,0,thwl,17/5/2023 05:00:00
4330,4.39,2.73,19.5,19.23,0,354.66,2276636.5,0,0,0,0,0,0,0,thwl,17/5/2023 06:00:00
4331,4.27,3.62,21.41,21.52,0,695.58,2276977.25,0,0,0,0,0,0,0,thwl,17/5/2023 07:00:00
4332,4.27,1.97,26.61,27.05,0,997.63,2277279.25,0,0,0,0,0,0,0,thwl,17/5/2023 08:00:00
4333,4.16,3.17,31.66,30,2970.76,1633.15,2277916.75,0,0,0,0,0,0,0,thwl,17/5/2023 09:00:00
4334,4.26,3.81,29.42,27.86,0,2149.83,2278431.75,0,0,0,0,0,0,0,thwl,17/5/2023 10:00:00
4335,4.35,3.97,33.39,31.2,2029.48,2618.4,2278900.25,0,0,0,0,0,0,0,thwl,17/5/2023 11:00:00
4336,4.42,1.15,34.19,35.69,0,2660.14,2278942,0,0,0,0,0,0,0,thwl,17/5/2023 12:00:00
4337,4.22,1.28,34.79,35.86,0,3026.94,2279308.75,0,0,0,0,0,0,0,thwl,17/5/2023 13:00:00
4338,4.32,1.59,35.23,35.37,0,3394.21,2279676,0,0,0,0,0,0,0,thwl,17/5/2023 14:00:00
4339,4.25,1.9,36.95,36.83,0,3816.48,2280098.5,0,0,0,0,0,0,0,thwl,17/5/2023 15:00:00
4340,4.16,2.06,36.35,35.93,0,4188.07,2280470,0,0,0,0,0,0,0,thwl,17/5/2023 16:00:00
4341,4.46,1.97,34.53,34.36,0,4535.4,2280817.25,0,0,0,0,0,0,0,thwl,17/5/2023 17:00:00
4342,4.33,3.66,32.13,31.43,0,5105.91,2281387.75,0,0,0,0,0,0,0,thwl,17/5/2023 18:00:00
