"id","pt_in","pt_out","tt_in","tt_out","vf_fr","vf_td","vf_su","pt_in_s","pt_out_s","tt_in_s","tt_out_s","vf_fr_s","vf_td_s","vf_su_s","daily_paper_code","data_time"
"15","4.43","2.8","17.58","20.22","0","73150.55","51550376","4.43","2.8","17.58","20.22","0","1.92","51396400","thgz","12/5/2023 23:00:00"
"16","4.51","2.68","17.81","19.71","0","73150.55","51550376","4.51","2.68","17.81","19.71","0","1.92","51396400","thgz","13/5/2023 00:00:00"
"17","4.46","2.8","17.75","17.75","0","75089.34","51552316","4.46","2.8","17.75","17.75","0","1.92","51396400","thgz","13/5/2023 01:00:00"
"18","4.46","2.74","17.54","17.96","0","75089.34","51552316","4.46","2.74","17.54","17.96","0","1.92","51396400","thgz","13/5/2023 02:00:00"
"19","4.41","2.69","16.23","17.54","0","75089.34","51552316","4.41","2.69","16.23","17.54","0","1.92","51396400","thgz","13/5/2023 03:00:00"
"20","4.41","2.64","16.56","17.23","0","75089.34","51552316","4.41","2.64","16.56","17.23","0","1.92","51396400","thgz","13/5/2023 04:00:00"
"21","4.41","2.59","16.36","16.82","0","75089.34","51552316","4.41","2.59","16.36","16.82","0","1.92","51396400","thgz","13/5/2023 05:00:00"
"22","4.3","2.76","15.2","13.7","0","77920.02","51555148","4.3","2.76","15.2","13.7","0","1.92","51396400","thgz","13/5/2023 06:00:00"
"23","4.38","2.69","16.48","15.54","12298.1","79259.68","51556484","4.38","2.69","16.48","15.54","0","1.92","51396400","thgz","13/5/2023 07:00:00"
"24","4.43","2.65","20.11","21.19","0","0","51558240","4.43","2.65","20.11","21.19","0","1.92","51396400","thgz","13/5/2023 08:00:00"
"25","4.19","2.85","18.96","19.63","7682.88","8548.07","51566788","4.19","2.85","18.96","19.63","0","0","51396400","thgz","13/5/2023 09:00:00"
"26","3.99","2.8","18.71","19.98","9317.47","17824.81","51576064","3.99","2.8","18.71","19.98","0","0","51396400","thgz","13/5/2023 10:00:00"
"27","4.19","2.67","19.76","24.49","4354.48","10302.5","52002120","4.19","2.67","19.76","24.49","0","0.28","35242384","thgz","13/5/2023 11:00:00"
"29","3.87","2.82","19.25","22.81","8429.49","34623.83","51592860","3.87","2.82","19.25","22.81","0","1.34","51396400","thgz","13/5/2023 12:00:00"
"30","3.93","2.87","19.92","24.35","7296.5","42327.61","51600564","3.93","2.87","19.92","24.35","2129.45","40.14","51396440",,"13/5/2023 13:00:00"
"31","4.06","2.9","21.62","25.7","6258.1","49237.73","51607476","4.06","2.9","21.62","25.7","0","103.43","51396504","thgz","13/5/2023 14:00:28"
"32","4.22","2.93","21.73","26.47","5072.22","54804.89","51613044","4.22","2.93","21.73","26.47","0","103.43","51396504","thgz","13/5/2023 15:00:01"
"33","4.35","2.94","21.32","25.6","4199.94","59690.82","51617928","4.35","2.94","21.32","25.6","0","103.43","51396504","thgz","13/5/2023 16:03:21"
"34","4.23","2.96","21.66","24.88","3952.03","63547.96","51621788","4.23","2.96","21.66","24.88","0","103.43","51396504","thgz","13/5/2023 17:00:00"
"35","4.16","2.94","21.72","25.33","0","66891.84","51625128","4.16","2.94","21.72","25.33","0","103.43","51396504","thgz","13/5/2023 18:00:00"
"36","4.26","2.87","19.46","25.21","6832.94","67055.91","51625296","4.26","2.87","19.46","25.21","0","109.3","51396508","thgz","13/5/2023 19:00:00"
"37","4.23","2.99","17.23","18.4","2518.68","72657.01","51630896","4.23","2.99","17.23","18.4","0","109.81","51396508","thgz","13/5/2023 20:00:00"
"38","4.31","2.98","17.34","19.13","0","73428.26","51631664","4.31","2.98","17.34","19.13","0","109.81","51396508","thgz","13/5/2023 21:00:00"
